PLAYER_MATCH,TIME,METHOD,PLACE,PLAY,PLAYER_MATCH_GOAL
497628,77,R,G,C,10396
497622,83,H,P,I,10397
497646,45,H,G,O,10398
497647,56,R,G,O,10399
497694,21,R,O,D,10400
497694,63,R,P,P,10401
497712,45,H,P,O,10402
497717,52,R,G,I,10403
497710,79,R,P,O,10404
497708,56,R,P,O,10405
497704,75,L,G,O,10406
497761,66,R,G,O,10407
497761,86,R,P,O,10408
497762,73,R,P,P,10409
497745,75,R,P,P,10410
497771,45,H,G,O,10411
497794,72,H,G,O,10412
497793,46,H,P,O,10413
497792,76,L,P,O,10414
497788,87,R,P,O,10415
497776,25,R,P,O,10416
497770,15,H,G,O,10417
497784,58,H,P,C,10418
497808,72,R,G,O,10419
497809,46,R,P,O,10420
497843,56,R,G,O,10421
497859,32,L,P,O,10422
497875,22,H,G,I,10423
497887,70,R,P,O,10424
497894,86,R,G,O,10425
497919,3,L,P,I,10426
497918,86,R,P,O,10427
497956,84,L,G,O,10428
497955,62,L,O,D,10429
497951,41,L,G,O,10430
497958,72,H,G,O,10431
498005,45,L,P,O,10432
498003,20,R,P,P,10433
498062,69,H,P,O,10434
498081,27,L,P,C,10435
498115,74,L,O,O,10436
498118,5,R,P,O,10437
498143,59,L,P,O,10438
498150,66,R,P,O,10439
498153,35,H,P,O,10440
498131,83,R,P,O,10441
498166,50,L,G,O,10442
498163,61,R,P,O,10443
498194,18,H,P,O,10444
498193,90,R,G,O,10445
498195,80,R,O,O,10446
498196,27,R,O,O,10447
498197,82,L,P,O,10448
498202,63,R,G,C,10449
498211,39,R,O,O,10450
498192,28,R,G,O,10451
498223,41,L,P,O,10452
498227,90,R,O,O,10453
498228,10,R,G,O,10454
498247,15,R,P,O,10455
498262,53,L,P,O,10456
498263,78,L,P,O,10457
498273,58,R,O,O,10458
498273,89,L,O,O,10459
509090,41,R,P,O,10460
498257,48,R,P,O,10461
498293,15,H,P,C,10462
498312,73,R,P,O,10463
498337,71,H,P,O,10464
498319,31,H,G,O,10465
498321,62,R,P,I,10466
498326,59,R,G,O,10467
498331,90,R,G,C,10468
498366,10,H,G,I,10469
498374,43,L,P,O,10470
498374,5,L,G,C,10471
498374,90,R,P,O,10472
498353,58,H,P,O,10473
498388,25,R,O,D,10474
498402,35,R,O,O,10475
498407,84,R,P,O,10476
498422,53,H,G,O,10477
498422,81,H,P,O,10478
498455,23,L,P,I,10479
498466,55,R,P,O,10480
509092,8,L,P,I,10481
498531,20,H,G,O,10482
498551,21,H,P,O,10483
498543,2,H,G,C,10484
498580,9,L,G,C,10485
498614,52,H,G,O,10486
498615,14,H,P,C,10487
498616,23,H,G,O,10488
498622,64,L,O,O,10489
498629,38,H,P,C,10490
498629,73,H,P,C,10491
498646,13,R,O,O,10492
498664,22,R,P,O,10493
498641,5,R,O,O,10494
498679,43,R,P,O,10495
498696,2,R,P,O,10496
498696,75,R,G,O,10497
498677,13,H,G,C,10498
498677,47,R,P,P,10499
498721,14,R,P,T,10500
498725,43,R,P,O,10501
498758,19,R,G,O,10502
498754,86,L,P,O,10503
498733,51,H,P,C,10504
498752,49,H,P,O,10505
498770,25,R,G,O,10506
498770,33,L,P,O,10507
498791,32,R,P,O,10508
498804,89,H,P,O,10509
498824,77,R,G,O,10510
498836,54,L,O,O,10511
498853,40,R,P,O,10512
498871,58,R,P,P,10513
498870,61,R,P,O,10514
498889,9,L,P,I,10515
498903,7,R,G,O,10516
498919,48,R,O,O,10517
498951,72,R,P,O,10518
498927,63,R,G,I,10519
498931,90,R,O,O,10520
498949,22,R,P,O,10521
498950,89,R,P,O,10522
499001,90,R,G,C,10523
499007,43,R,O,I,10524
499010,57,R,P,O,10525
498997,10,R,O,D,10526
499029,61,R,P,C,10527
499058,73,R,O,O,10528
499060,82,R,P,O,10529
499060,57,L,P,O,10530
499061,61,R,P,O,10531
499063,49,L,G,O,10532
499078,89,L,O,D,10533
499093,37,L,P,O,10534
499093,82,R,P,O,10535
499094,50,R,P,O,10536
499140,45,R,O,O,10537
499125,36,R,P,O,10538
499138,90,R,P,O,10539
499170,44,H,G,C,10540
499171,65,R,P,O,10541
499190,7,L,P,O,10542
499190,60,R,P,P,10543
499211,43,H,G,I,10544
499198,35,H,P,I,10545
499202,49,R,P,O,10546
499206,53,R,P,O,10547
499221,90,L,O,O,10548
499222,36,L,P,O,10549
499238,83,L,P,P,10550
499248,61,R,O,O,10551
499254,82,L,P,T,10552
499265,52,L,O,O,10553
499298,50,L,P,O,10554
499280,39,L,O,I,10555
499286,51,H,G,T,10556
499286,32,R,P,O,10557
499360,6,H,P,C,10558
